index,name,key_skills,salary_from,salary_to,salary_currency,area_name,published_at
1245905,Разработчик мобильных приложений (iOS/Android),"iOS
Android
Java
Objective-C
Windows Mobile
Android SDK
ООП",30000.0,70000.0,RUR,Брянск,2015-05-25T10:18:20+0300
1252489,IOS Senior Developer,"Objective-C
iOS
Xcode
Core Data
GCD
Core Animation
Autolayout
Git
Foundation",120000.0,150000.0,RUR,Москва,2015-06-01T18:10:35+0300
1253226,"Программист iOS, Swift, ObjectiveC","Swift
Objective-C
iOS
Java",80.0,110.0,RUR,Калуга,2015-06-02T15:27:14+0300
1253352,"Программист iOS, Swift, ObjectiveC","Swift
Objective-C
iOS
Java",80000.0,110000.0,RUR,Москва,2015-06-02T16:59:58+0300
1253902,"IOS, Android разработчик","Android SDK
iOS
Английский язык",500.0,2000.0,USD,Минск,2015-06-03T11:47:27+0300
1253917,"IOS, Android разработчик","Android SDK
iOS
Английский язык",800.0,2000.0,USD,Минск,2015-06-03T12:00:12+0300
1258110,IOS разработчик,"Objective-C
Git
Core Data
iOS
Xcode
UI",110000.0,130000.0,RUR,Москва,2015-06-09T14:22:52+0300
1259883,"Программист, разработчик Android, разработчик iOS","Android
Android SDK
iOS
XML
SQLite
Java
Objective-C
ООП",60000.0,120000.0,RUR,Санкт-Петербург,2015-06-11T22:24:42+0300
1262545,IOS разработчик,"Разработка ПО
iOS
Objective-C
C#
Английский язык
Работа в команде",35000.0,60000.0,RUR,Киров (Кировская область),2015-06-16T13:03:10+0300
1264000,Разработчик мобильных приложений iOS+Android+Windows Phone (Xamarin),"C#
.NET Framework
iOS
Android
Xamarin",2000.0,3000.0,USD,Брест,2015-06-18T07:30:40+0300
1264001,Разработчик мобильных приложений iOS+Android+Windows Phone (Xamarin),"C#
iOS
Android
.NET Framework
Xamarin",2000.0,3000.0,USD,Могилев,2015-06-18T07:32:16+0300
1267065,"С++ программист/мобильный разработчик (iOS, Android)","C++
Java
Objective-C
JSON
Xcode
Android Studio
Eclipse
cocos2d-x",90000.0,110000.0,RUR,Москва,2015-06-22T13:45:02+0300
1267658,IOS разработчик,"iOS
Objective-C",1000.0,1800.0,USD,Омск,2015-06-23T08:26:11+0300
1268241,IOS разработчик,"ООП
Objective-C
Git
iOS
MVC
HTTP
Swift
Functional Programming
Xcode",30000.0,60000.0,RUR,Ростов-на-Дону,2015-06-23T16:11:56+0300
1269351,IOS разработчик,"iOS
Objective-C
Git
SQL",25000.0,50000.0,RUR,Ростов-на-Дону,2015-06-25T00:01:53+0300
1269615,"Разработчик iOS (Objective-C, Swift, Git, Jenkins)","iOS
Objective-C
Xcode
Jenkins
Git
Swift
Autolayout",2000.0,3000.0,USD,Минск,2015-06-25T10:57:44+0300
1272810,IOS разработчик,"iOS
Objective-C
Xcode",80000.0,120000.0,RUR,Москва,2015-06-29T17:29:26+0300
1273699,IOS разработчик,"iOS
Objective-C
UIKit
Quartz Core
Core Location
Core Graphics
SQLite
REST",40000.0,80000.0,RUR,Новосибирск,2015-06-30T16:39:51+0300
1274293,Ведущий программист мобильных приложений (Android/iOS),"C#
iOS
Android
mono
Xamarin
Android SDK
iOS SDK",50000.0,150000.0,RUR,Санкт-Петербург,2015-07-01T13:17:31+0300
1274535,IOS разработчик,"iOS
Objective-C",40000.0,80000.0,RUR,Казань,2015-07-01T16:44:33+0300
1274543,IOS разработчик,"iOS
Objective-C",40000.0,80000.0,RUR,Ульяновск,2015-07-01T16:48:43+0300
1274545,IOS разработчик,"iOS
Objective-C",40000.0,80000.0,RUR,Набережные Челны,2015-07-01T16:50:10+0300
1277837,"Разработчик под iOS (iPhone, iPad)",iOS,60000.0,80000.0,RUR,Новосибирск,2015-07-06T12:22:29+0300
1278122,IOS разработчик,"Objective-C
Mac Os",100000.0,160000.0,RUR,Москва,2015-07-06T15:01:19+0300
1279121,IOS разработчик / Android разработчик,"iOS
JSON API
Android
Android SDK",20000.0,80000.0,RUR,Красноярск,2015-07-07T12:02:16+0300
1279122,IOS разработчик / Android разработчик,"iOS
JSON API
Android
Android SDK",20000.0,80000.0,RUR,Ижевск,2015-07-07T12:02:16+0300
1279123,IOS разработчик / Android разработчик,"iOS
JSON API
Android
Android SDK",20000.0,80000.0,RUR,Волгоград,2015-07-07T12:02:16+0300
1279489,IOS разработчик,"Xcode
Objective-C
iOS
API
Git",70000.0,100000.0,RUR,Москва,2015-07-07T17:00:19+0300
1279633,Разработчик мобильных приложений (iOS/Android),"iOS
Android
Java
Objective-C
Windows Mobile
Android SDK
ООП",30000.0,70000.0,RUR,Брянск,2015-07-07T23:07:04+0300
1280511,Senior iOs Developer,"iOS
Objective-C
Git",100000.0,150000.0,RUR,Москва,2015-07-08T18:46:29+0300
1280860,IOS программист,"iOS
Objective-C",500.0,2000.0,USD,Киев,2015-07-09T11:11:17+0300
1281153,IOS Team Lead,"iOS
Objective-C
Team Lead",130000.0,160000.0,RUR,Москва,2015-07-09T15:13:46+0300
1281611,Ведущий разработчик мобильных приложений (iOS),"iOS
ООП
Objective-C
Agile Project Management
Git
HTTP",110000.0,150000.0,RUR,Москва,2015-07-10T10:46:00+0300
1282723,Ведущий IOS-разработчик,"iOS
Objective-C",110000.0,150000.0,RUR,Москва,2015-07-13T08:22:15+0300
1283383,IOS разработчик,"Xcode
Objective-C
iOS
API
Git",70000.0,100000.0,RUR,Москва,2015-07-13T13:35:30+0300
